Round,RunningTimeConstruction,RunningTimeFinding,RunningTimeDeleting,RunningTimeInserting,MaxHeight
1,13012,26,27,29,13
2,13012,19,20,21,13
3,11010,22,23,23,11
4,9008,13,16,22,9
5,11010,22,23,23,11
6,13012,19,22,23,13
7,12011,20,21,21,12
8,16015,22,29,27,16
9,15014,18,21,20,15
10,14013,19,20,20,14
11,11010,19,25,26,11
12,12011,22,23,23,12
13,10009,14,15,16,10
14,9008,15,18,17,9
15,9008,11,24,20,9
16,10009,11,20,19,10
17,11010,21,24,24,11
18,11010,15,21,20,11
19,10009,9,25,21,10
20,11010,22,25,25,11
21,13012,23,24,24,13
22,11010,16,17,17,11
23,9008,20,30,32,9
24,9008,27,28,28,9
25,10009,15,16,16,10
26,12011,27,32,38,12
27,17016,27,28,32,17
28,15014,26,27,29,15
29,13012,19,23,22,13
30,9008,16,21,19,9
31,11010,17,18,18,11
32,13012,12,32,27,13
33,9008,19,22,21,9
34,14013,16,32,29,14
35,12011,21,24,24,12
36,11010,21,24,24,11
37,13012,13,18,16,13
38,11010,17,20,19,11
39,12011,16,28,27,12
40,14013,10,24,20,14
41,9008,29,30,33,9
42,10009,27,30,29,10
43,11010,22,23,23,11
44,11010,24,25,25,11
45,14013,18,22,24,14
46,11010,22,23,23,11
47,12011,16,25,25,12
48,10009,18,21,20,10
49,10009,20,24,23,10
50,12011,24,25,25,12
51,11010,15,20,21,11
52,8007,12,20,18,8
53,10009,17,18,20,10
54,11010,19,27,26,11
55,11010,16,17,19,11
56,13012,17,20,19,13
57,11010,18,19,19,11
58,10009,23,24,27,10
59,11010,23,24,24,11
60,11010,16,19,18,11
61,11010,19,20,21,11
62,10009,13,26,22,10
63,12011,13,17,17,12
64,11010,18,19,19,11
65,12011,23,24,24,12
66,14013,19,22,21,14
67,10009,15,19,21,10
68,9008,11,15,14,9
69,12011,21,22,22,12
70,10009,17,22,21,10
71,15014,28,29,30,15
72,10009,17,21,21,10
73,12011,13,22,21,12
74,14013,29,30,30,14
75,9008,13,21,18,9
76,10009,17,18,18,10
77,11010,17,20,21,11
78,13012,20,21,21,13
79,10009,17,22,21,10
80,11010,20,27,28,11
81,9008,11,14,15,9
82,14013,24,25,26,14
83,12011,14,32,30,12
84,11010,15,21,19,11
85,12011,25,30,30,12
86,12011,16,17,17,12
87,12011,15,16,16,12
88,12011,24,25,27,12
89,11010,16,17,19,11
90,9008,13,30,27,9
91,13012,23,29,30,13
92,12011,17,18,18,12
93,12011,24,31,30,12
94,15014,19,23,22,15
95,12011,17,20,21,12
96,11010,15,16,16,11
97,11010,17,18,21,11
98,13012,22,23,23,13
99,11010,13,21,18,11
100,13012,13,20,18,13
